"id";"id_menu_type";"name";"description";"price";"image";"ordered"
1;1;"Desayuno completo";"Caldo (pescado / costilla / pata / 
pajarilla), huevos al gusto, bebida (chocolate / café / 
aguapanela / tinto), arepa pequeña o pan";"12000";"https://unsplash.com/photos/JVkGUwTYQag/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8Nnx8Y2FsZG98ZXN8MHx8fHwxNjU2NjcwMTk5&force=true&w=640";0
2;1;"Taza de aguapanela con queso";"Una deliciosa Taza de aguapanela caliente con queso ";"4000";"https://unsplash.com/photos/oBoELXgJR1w/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8NHx8dCVDMyVBOXxlc3wwfHx8fDE2NTY2OTQxMjM&force=true&w=640";0
3;1;"Huevo con arroz";"Plato de huevo con arroz";"6000";"https://unsplash.com/photos/YWCEn9Jr4gw/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8MTV8fGh1ZXZvcyUyMGNvbiUyMGFycm96fGVzfDB8fHx8MTY1NjcxNzA3MA&force=true&w=640";0
4;1;"Cacerola con huevos";"Huevos al gusto en cacerola";"4500";"https://unsplash.com/photos/R-J5t4aHj3I/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8MTl8fGNhY2Vyb2xhJTIwaHVldm9zfGVzfDB8fHx8MTY1NjcxNzUwOQ&force=true&w=640";0
5;1;"Arepa con Queso";"Deliciosa arepa con queso";"2500";"https://unsplash.com/photos/4C_k18o_tnk/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8MXx8YXJlcGElMjBxdWVzb3xlc3wwfHx8fDE2NTY3ODIyNzc&force=true&w=640";0
6;1;"Chocolate con queso";"Tasa de chocolate con queso";"5000";"https://unsplash.com/photos/8gnJu1Brcpk/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8NHx8dGF6YSUyMGNob2NvbGF0ZXxlc3wwfHx8fDE2NTY3Nzk1NjE&force=true&w=640";0
7;2;"Combo Familiar";"Combo para cuatro personas";"48000";"https://i.pinimg.com/originals/c5/77/ef/c577efeac84736382690c8824056465b.jpg";0
8;2;"Combo Q´leko al camino";"Combo Q´leko al camino";"40000";"https://unsplash.com/photos/HQ22vVXhWcc/download?i…BvbGxvfGVzfDB8fHx8MTY1Njk0NDA0NA&force=true&w=640";0
9;2;"Combo Dúo";"Combo para dos personas";"25000";"https://unsplash.com/photos/gE28aTnlqJA/download?i…BvbGxvfGVzfDB8fHx8MTY1Njk0NDA0NA&force=true&w=640";0
10;2;"Combo personal";"Combo personal";"16000";"https://unsplash.com/photos/GyV6SL_fKsI/download?ixid=MnwxMjA3fDB8MXxzZWFyY2h8Nnx8cG9sbG98ZXN8MHx8fHwxNjU2OTQ0MDQ0&force=true&w=640";0
11;2;"Combo Q´lekito";"Combo Q´lekito";"13000";"https://unsplash.com/photos/b94AylTxWqA/download?i…YXNhZG98ZXN8MHx8fHwxNjU2OTY0NDUx&force=true&w=640";0
31;3;"Pollo Q'leko al carbón";"Pollo Q'leko al carbón";"35000";"https://unsplash.com/photos/9zLa37VNL38/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NjEyMzkw&force=true&w=640";0
32;3;"1/2 Pollo Q'leko al carbón";"1/2 Pollo Q'leko al carbón";"20000";"https://unsplash.com/photos/gE28aTnlqJA/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NjQ2MDk3&force=true&w=640";0
33;3;"1/4 Pollo Q'leko al carbón";"1/4 Pollo Q'leko al carbón";"10000";"https://unsplash.com/photos/GyV6SL_fKsI/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NzEyMjY0&force=true&w=640";0
34;3;"Churrasco con un acompañamiento";"Churrasco con un acompañamiento";"23000";"https://unsplash.com/photos/NYBnDWeOX2c/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NzExOTI5&force=true&w=640";0
35;3;"Papa a la francesa";"Papa a la francesa";"6000";"https://unsplash.com/photos/ocrTZ78Et08/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NzEyNDg1&force=true&w=640";0
36;3;"Papa criolla";"Papa criolla";"6000";"https://unsplash.com/photos/ECxiHN817xE/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NzEyODI3&force=true&w=640";0
37;3;"Yuca frita";"Yuca frita";"6000";"https://www.divinacocina.es/wp-content/uploads/yuca-frita.jpg";0
38;3;"Platano al horno con queso y bocadillo";"Platano al horno con queso y bocadillo";"8000";"https://tucocina.b-cdn.net/wp-content/uploads/2021/03/Platanos-con-bocadillo-y-queso.jpg";0
39;4;"Ajiaco";"Ajiaco";"7000";"https://unsplash.com/photos/apjyDlT5adw/download?ixid=MnwxMjA3fDB8MXxhbGx8fHx8fHx8fHwxNjU2NzE0MDIx&force=true&w=640";0
40;4;"Mazamorra";"Mazamorra";"7000";"http://1.bp.blogspot.com/-Gj-hx0A5xaQ/Ttp3NwanPiI/AAAAAAAAAGU/bAM_EAQYDQg/s1600/mazamorra+chiquita.JPG";0
41;4;"1/2 Sopa";"1/2 Sopa";"5000";"http://www.comedera.com/wp-content/uploads/2019/11/sopa-de-arroz.jpg";0
42;5;"Cerveza Poker";"Cerveza Poker";"2500";"https://www.bavaria.co/sites/g/files/phfypu1316/f/BOTELLA-550PX.png";0
43;5;"Cerveza Aguila";"Cerveza Aguila";"3000";"https://www.seekpng.com/png/detail/239-2398645_botella-de-aguila-producto-colombiano-cerveza-aguila-png.png";0
44;5;"Cerveza Club Colombia";"Cerveza Club Colombia";"3000";"http://bucaramanga.gruposotillo.com/wp-content/uploads/2014/08/Cerveza_Club_Colombia.jpg";0
45;5;"Cerveza Aguila Light";"Cerveza Aguila Light";"3000";"https://elamigodelanoche.com/wp-content/uploads/2018/10/Cerveza-Aguila-Light-330-ML.jpg";0
46;5;"Cerveza Coronita";"Cerveza Coronita";"3500";"https://www.seekpng.com/png/detail/16-169043_corona-light.png";0
47;5;"Cerveza Costeña Bacana";"Cerveza Costeña Bacana";"2500";"https://cdn.forbes.co/2020/07/Botela-coste%C3%B1a-bacana-1000x600.jpg";0
48;5;"Gaseosa 1.5L";"Gaseosa 1.5L";"6000";"https://comidasrapidasolafo.com/wp-content/uploads/2021/02/1.5l.jpg";0
49;5;"Gaseosa Personal 350mL";"Gaseosa Personal 350mL";"2500";"https://www.misterpollo.co/domicilios/166-large_default/-gaseosa-350-ml.jpg";0
50;5;"Jugos Hit";"Jugos Hit";"2500";"https://ponchocarrielysombrerocomidatipica.com/53-large_default/jugos-hit.jpg";0
51;5;"Jugo Natural 500mL";"Jugo Natural 500mL";"6000";"https://k-listo.com/wp-content/uploads/2020/04/JUGOS_NATURALES.jpg";0
52;5;"Limonada de Yerbabuena";"Limonada de Yerbabuena";"6000";"https://www.receta-vegetariana.com/base/stock/Recipe/27-image/27-image_web.jpg";0
53;5;"Limonada de coco";"Limonada de coco";"6000";"https://asaderolagranllanera.com/wp-content/uploads/2021/04/1056.png";0
54;5;"Limonada cerezada";"Limonada cerezada";"6000";"https://i0.wp.com/lasrocas.com.co/wp-content/uploads/2021/08/LIMONADA-CEREZADA-scaled.jpg?fit=2560%2C1707&ssl=1";0
55;5;"Limonada jarra 2L";"Limonada jarra 2L";"10000";"https://broasteryasadochia.com/wp-content/uploads/2020/03/descarga-42.jpg";0
56;5;"Limonada jarra1L";"Limonada jarra1L";"5000";"https://envato-shoebox-0.imgix.net/1923/251b-6e91-47fc-9a6d-0d2e9d4d7b32/Apricot+Iced+Lemonade+pitcher-1-Edit+copy.jpg?auto=compress%2Cformat&fit=max&mark=https%3A%2F%2Felements-assets.envato.com%2Fst";0
57;5;"Gaseosa Personal 350mL";"Gaseosa Personal 350mL";"2500";"https://zeferinos.com/wp-content/uploads/2015/05/agua.png";0
58;5;"Botella de agua saborizada";"Botella de agua saborizada";"2500";"https://olimpica.vtexassets.com/arquivos/ids/641332-800-450?v=637626577548230000&width=800&height=450&aspect=true";0
